Fonte,Protocolo,Cenário,Tamanho,Duração(s),Throughput(KB/s)
Captura,RUDP,cenarioC,100KB,5.3785,18.59
Aplicação,TCP,cenarioA,100KB,0.0562,1780.71
Aplicação,TCP,cenarioA,100KB,0.0567,1764.05
Aplicação,TCP,cenarioA,100KB,0.0542,1845.5
Aplicação,TCP,cenarioA,100KB,0.0568,1759.06
Aplicação,TCP,cenarioA,100KB,0.0536,1867.05
Aplicação,TCP,cenarioA,100KB,0.0659,1518.21
Aplicação,TCP,cenarioA,100KB,0.0569,1757.89
Aplicação,TCP,cenarioA,100KB,0.0661,1512.84
Aplicação,TCP,cenarioA,100KB,0.0578,1728.9
Aplicação,TCP,cenarioA,100KB,0.0602,1660.65
Captura,TCP,cenarioA,100KB,0.056,1787.18
Captura,TCP,cenarioA,100KB,0.0562,1779.45
Captura,TCP,cenarioA,100KB,0.0539,1855.6
Captura,TCP,cenarioA,100KB,0.0566,1765.57
Captura,TCP,cenarioA,100KB,0.0533,1877.02
Captura,TCP,cenarioA,100KB,0.0656,1524.34
Captura,TCP,cenarioA,100KB,0.0566,1766.41
Captura,TCP,cenarioA,100KB,0.0657,1522.0
Captura,TCP,cenarioA,100KB,0.0575,1738.71
Captura,TCP,cenarioA,100KB,0.0599,1670.29
Aplicação,TCP,cenarioB,100KB,0.2163,462.24
Aplicação,TCP,cenarioB,100KB,0.2708,369.31
Aplicação,TCP,cenarioB,100KB,0.2215,451.4
Aplicação,TCP,cenarioB,100KB,0.2204,453.62
Aplicação,TCP,cenarioB,100KB,0.2189,456.79
Aplicação,TCP,cenarioB,100KB,0.2208,452.9
Aplicação,TCP,cenarioB,100KB,0.2172,460.42
Aplicação,TCP,cenarioB,100KB,0.2188,457.04
Aplicação,TCP,cenarioB,100KB,0.2201,454.29
Aplicação,TCP,cenarioB,100KB,1.3384,74.72
Captura,TCP,cenarioB,100KB,0.2152,464.58
Captura,TCP,cenarioB,100KB,0.2697,370.84
Captura,TCP,cenarioB,100KB,0.2213,451.88
Captura,TCP,cenarioB,100KB,0.22,454.56
Captura,TCP,cenarioB,100KB,0.2189,456.93
Captura,TCP,cenarioB,100KB,0.2199,454.68
Captura,TCP,cenarioB,100KB,0.217,460.93
Captura,TCP,cenarioB,100KB,0.2185,457.68
Captura,TCP,cenarioB,100KB,0.2198,454.87
Captura,TCP,cenarioB,100KB,0.3164,316.05
Aplicação,TCP,cenarioC,100KB,0.4244,235.64
Aplicação,TCP,cenarioC,100KB,0.4216,237.21
Aplicação,TCP,cenarioC,100KB,0.4213,237.39
Aplicação,TCP,cenarioC,100KB,0.421,237.52
Aplicação,TCP,cenarioC,100KB,0.4189,238.73
Aplicação,TCP,cenarioC,100KB,0.4158,240.53
Aplicação,TCP,cenarioC,100KB,0.7237,138.19
Aplicação,TCP,cenarioC,100KB,0.5245,190.67
Aplicação,TCP,cenarioC,100KB,0.519,192.69
Captura,TCP,cenarioC,100KB,0.424,235.86
Captura,TCP,cenarioC,100KB,0.4209,237.57
Captura,TCP,cenarioC,100KB,0.4209,237.57
Captura,TCP,cenarioC,100KB,0.4201,238.04
Captura,TCP,cenarioC,100KB,0.4184,239.0
Captura,TCP,cenarioC,100KB,0.4154,240.72
Captura,TCP,cenarioC,100KB,0.7233,138.25
Captura,TCP,cenarioC,100KB,0.5237,190.95
Captura,TCP,cenarioC,100KB,0.518,193.06
