Fonte,Protocolo,Cenário,Tamanho,Duração(s),Throughput(KB/s)
Aplicação,RUDP,cenarioA,100KB,0.3383,295.57
Aplicação,RUDP,cenarioA,100KB,0.3556,281.22
Aplicação,RUDP,cenarioA,100KB,0.3429,291.66
Aplicação,RUDP,cenarioA,100KB,0.3394,294.67
Aplicação,RUDP,cenarioA,100KB,0.3351,298.44
Aplicação,RUDP,cenarioA,100KB,0.3314,301.77
Aplicação,RUDP,cenarioA,100KB,0.3352,298.37
Aplicação,RUDP,cenarioA,100KB,0.3359,297.7
Aplicação,RUDP,cenarioA,100KB,0.3432,291.38
Aplicação,RUDP,cenarioA,100KB,0.3321,301.15
Captura,RUDP,cenarioA,100KB,0.3378,296.02
Captura,RUDP,cenarioA,100KB,0.3544,282.18
Captura,RUDP,cenarioA,100KB,0.3425,291.97
Captura,RUDP,cenarioA,100KB,0.339,294.95
Captura,RUDP,cenarioA,100KB,0.3343,299.17
Captura,RUDP,cenarioA,100KB,0.3305,302.6
Captura,RUDP,cenarioA,100KB,0.3347,298.82
Captura,RUDP,cenarioA,100KB,0.3356,297.97
Captura,RUDP,cenarioA,100KB,0.3425,291.95
Captura,RUDP,cenarioA,100KB,0.3318,301.38
Aplicação,RUDP,cenarioB,100KB,2.4802,40.32
Aplicação,RUDP,cenarioB,100KB,1.9699,50.76
Aplicação,RUDP,cenarioB,100KB,2.9703,33.67
Aplicação,RUDP,cenarioB,100KB,2.9715,33.65
Aplicação,RUDP,cenarioB,100KB,2.4706,40.48
Aplicação,RUDP,cenarioB,100KB,3.4734,28.79
Aplicação,RUDP,cenarioB,100KB,2.4799,40.32
Aplicação,RUDP,cenarioB,100KB,2.9738,33.63
Aplicação,RUDP,cenarioB,100KB,1.9713,50.73
Aplicação,RUDP,cenarioB,100KB,2.9713,33.66
Captura,RUDP,cenarioB,100KB,2.4789,40.34
Captura,RUDP,cenarioB,100KB,1.9695,50.77
Captura,RUDP,cenarioB,100KB,2.9699,33.67
Captura,RUDP,cenarioB,100KB,2.9704,33.67
Captura,RUDP,cenarioB,100KB,2.4705,40.48
Captura,RUDP,cenarioB,100KB,3.4724,28.8
Captura,RUDP,cenarioB,100KB,1.9785,50.54
Captura,RUDP,cenarioB,100KB,2.9734,33.63
Captura,RUDP,cenarioB,100KB,1.9708,50.74
Captura,RUDP,cenarioB,100KB,2.9708,33.66
Aplicação,RUDP,cenarioC,100KB,3.3751,29.63
Aplicação,RUDP,cenarioC,100KB,4.8773,20.5
Aplicação,RUDP,cenarioC,100KB,4.368,22.89
Aplicação,RUDP,cenarioC,100KB,3.3726,29.65
Aplicação,RUDP,cenarioC,100KB,4.3742,22.86
Aplicação,RUDP,cenarioC,100KB,3.8729,25.82
Aplicação,RUDP,cenarioC,100KB,3.8768,25.79
Aplicação,RUDP,cenarioC,100KB,5.3774,18.6
Aplicação,RUDP,cenarioC,100KB,5.8821,17.0
Aplicação,RUDP,cenarioC,100KB,5.3791,18.59
Captura,RUDP,cenarioC,100KB,3.3743,29.64
Captura,RUDP,cenarioC,100KB,4.876,20.51
Captura,RUDP,cenarioC,100KB,4.3669,22.9
Captura,RUDP,cenarioC,100KB,3.3722,29.65
Captura,RUDP,cenarioC,100KB,4.374,22.86
Captura,RUDP,cenarioC,100KB,3.8724,25.82
Captura,RUDP,cenarioC,100KB,3.8765,25.8
Captura,RUDP,cenarioC,100KB,4.8748,20.51
Captura,RUDP,cenarioC,100KB,5.8814,17.0
