Data/Hora,Protocolo,Cenário,Arquivo,Duração(s),Throughput(KB/s)
2026-06-25 20:47:49,DNS-RUDP,cenarioA,arquivo_100kb.bin,0.0159,0.00
2026-06-25 20:47:50,DNS-RUDP,cenarioA,arquivo_100kb.bin,0.0145,0.00
2026-06-25 20:47:52,DNS-RUDP,cenarioA,arquivo_100kb.bin,0.0136,0.00
2026-06-25 20:47:54,DNS-RUDP,cenarioA,arquivo_100kb.bin,0.0134,0.00
2026-06-25 20:47:56,DNS-RUDP,cenarioA,arquivo_100kb.bin,0.0134,0.00
2026-06-25 20:47:58,DNS-RUDP,cenarioA,arquivo_100kb.bin,0.0129,0.00
2026-06-25 20:47:59,DNS-RUDP,cenarioA,arquivo_100kb.bin,0.0127,0.00
2026-06-25 20:48:01,DNS-RUDP,cenarioA,arquivo_100kb.bin,0.0127,0.00
2026-06-25 20:48:03,DNS-RUDP,cenarioA,arquivo_100kb.bin,0.0127,0.00
2026-06-25 20:48:05,DNS-RUDP,cenarioA,arquivo_100kb.bin,0.0123,0.00
2026-06-25 20:49:11,DNS-RUDP,cenarioB,arquivo_100kb.bin,0.0572,0.00
2026-06-25 20:49:15,DNS-RUDP,cenarioB,arquivo_100kb.bin,0.0536,0.00
2026-06-25 20:49:19,DNS-RUDP,cenarioB,arquivo_100kb.bin,0.0534,0.00
2026-06-25 20:49:24,DNS-RUDP,cenarioB,arquivo_100kb.bin,0.0529,0.00
2026-06-25 20:49:28,DNS-RUDP,cenarioB,arquivo_100kb.bin,0.0533,0.00
2026-06-25 20:49:33,DNS-RUDP,cenarioB,arquivo_100kb.bin,0.0527,0.00
2026-06-25 20:49:37,DNS-RUDP,cenarioB,arquivo_100kb.bin,0.0537,0.00
2026-06-25 20:49:41,DNS-RUDP,cenarioB,arquivo_100kb.bin,0.0536,0.00
2026-06-25 20:49:49,DNS-RUDP,cenarioB,arquivo_100kb.bin,4.0592,0.00
2026-06-25 20:49:53,DNS-RUDP,cenarioB,arquivo_100kb.bin,0.0532,0.00
2026-06-25 20:50:46,DNS-RUDP,cenarioC,arquivo_100kb.bin,0.1065,0.00
2026-06-25 20:50:53,DNS-RUDP,cenarioC,arquivo_100kb.bin,0.1032,0.00
2026-06-25 20:50:59,DNS-RUDP,cenarioC,arquivo_100kb.bin,0.1031,0.00
2026-06-25 20:51:04,DNS-RUDP,cenarioC,arquivo_100kb.bin,0.1031,0.00
2026-06-25 20:51:10,DNS-RUDP,cenarioC,arquivo_100kb.bin,0.1028,0.00
2026-06-25 20:51:15,DNS-RUDP,cenarioC,arquivo_100kb.bin,0.1041,0.00
2026-06-25 20:51:21,DNS-RUDP,cenarioC,arquivo_100kb.bin,0.1027,0.00
2026-06-25 20:51:28,DNS-RUDP,cenarioC,arquivo_100kb.bin,0.1037,0.00
2026-06-25 20:51:35,DNS-RUDP,cenarioC,arquivo_100kb.bin,0.1036,0.00
2026-06-25 20:51:42,DNS-RUDP,cenarioC,arquivo_100kb.bin,0.1034,0.00
