Data/Hora,Protocolo,Cenário,Arquivo,Duração(s),Throughput(KB/s)
2026-06-25 14:43:49,DNS-TCP,cenarioA,arquivo_500kb.bin,0.0133,0.00
2026-06-25 14:43:51,DNS-TCP,cenarioA,arquivo_500kb.bin,0.0149,0.00
2026-06-25 14:43:52,DNS-TCP,cenarioA,arquivo_500kb.bin,0.0122,0.00
2026-06-25 14:43:54,DNS-TCP,cenarioA,arquivo_500kb.bin,0.0127,0.00
2026-06-25 14:43:56,DNS-TCP,cenarioA,arquivo_500kb.bin,0.0128,0.00
2026-06-25 14:43:57,DNS-TCP,cenarioA,arquivo_500kb.bin,0.0126,0.00
2026-06-25 14:43:59,DNS-TCP,cenarioA,arquivo_500kb.bin,0.0129,0.00
2026-06-25 14:44:01,DNS-TCP,cenarioA,arquivo_500kb.bin,0.0136,0.00
2026-06-25 14:44:02,DNS-TCP,cenarioA,arquivo_500kb.bin,0.0124,0.00
2026-06-25 14:44:04,DNS-TCP,cenarioA,arquivo_500kb.bin,0.0126,0.00
2026-06-25 14:45:07,DNS-TCP,cenarioB,arquivo_500kb.bin,0.0542,0.00
2026-06-25 14:45:09,DNS-TCP,cenarioB,arquivo_500kb.bin,0.0535,0.00
2026-06-25 14:45:10,DNS-TCP,cenarioB,arquivo_500kb.bin,0.0529,0.00
2026-06-25 14:45:16,DNS-TCP,cenarioB,arquivo_500kb.bin,0.0527,0.00
2026-06-25 14:45:19,DNS-TCP,cenarioB,arquivo_500kb.bin,0.0533,0.00
2026-06-25 14:45:21,DNS-TCP,cenarioB,arquivo_500kb.bin,0.0527,0.00
2026-06-25 14:45:23,DNS-TCP,cenarioB,arquivo_500kb.bin,0.0530,0.00
2026-06-25 14:45:25,DNS-TCP,cenarioB,arquivo_500kb.bin,0.0525,0.00
2026-06-25 14:45:27,DNS-TCP,cenarioB,arquivo_500kb.bin,0.0528,0.00
2026-06-25 14:46:54,DNS-TCP,cenarioC,arquivo_500kb.bin,0.1033,0.00
2026-06-25 14:46:57,DNS-TCP,cenarioC,arquivo_500kb.bin,0.1033,0.00
2026-06-25 14:46:59,DNS-TCP,cenarioC,arquivo_500kb.bin,0.1039,0.00
2026-06-25 14:47:01,DNS-TCP,cenarioC,arquivo_500kb.bin,0.0989,0.00
2026-06-25 14:47:04,DNS-TCP,cenarioC,arquivo_500kb.bin,0.1025,0.00
2026-06-25 14:47:06,DNS-TCP,cenarioC,arquivo_500kb.bin,0.1028,0.00
2026-06-25 14:47:08,DNS-TCP,cenarioC,arquivo_500kb.bin,0.1030,0.00
2026-06-25 14:47:13,DNS-TCP,cenarioC,arquivo_500kb.bin,0.1040,0.00
2026-06-25 14:47:15,DNS-TCP,cenarioC,arquivo_500kb.bin,0.1031,0.00
